ASN,Name,Country,Number of IPs,Type
AS151909,NGUYEN HAU TP COMPANY LIMITED,vn,0,inactive
AS151908,MAY CHU VIET SOLUTIONS CORPORATION,vn,0,inactive
AS151907,ECOSTA LIMITED,vn,0,inactive
AS151906,ICODE DIGITAL DATA COMPANY LIMITED,vn,0,inactive
AS151905,PHO TUE SOFTWARE AND TECHNOLOGY SOLUTIONS COMPANY LIMITED.,vn,0,inactive
AS151904,TRAN PHAT CONSTRUCTION EQUIPMENT COMPANY LIMITED,vn,0,inactive
AS151902,Center for Information Technology Application - Vietnam Academy of Social Sciences,vn,0,government
AS151900,METECH TECHNOLOGY AND SERVICES COMPANY LIMITED,vn,0,inactive
AS151899,EDC TECHNOLOGY JOINT STOCK COMPANY,vn,0,inactive
AS151898,MEGAHOST TECHNOLOGY COMPANY LIMITED,vn,0,inactive
AS151897,QUOC VUONG TECHNOLOGY COMPANY LIMITED,vn,0,inactive
AS151896,ETEL TECHNOLOGY COMPANY LIMITED,vn,0,inactive
AS151895,MYVPS TECHNOLOGY COMPANY LIMITED,vn,0,inactive
AS151894,Department of Information and Communications of Hai Phong City,vn,0,inactive
AS151892,NEWCLOUD DIGITAL TECHNOLOGY COMPANY LIMITED,vn,0,inactive
AS151891,K-SERVER NETWORK SERVICES COMPANY LIMITED,vn,0,inactive
AS151890,HAWK HOST COMPANY LIMITED,vn,0,inactive
AS151889,HAI NAM REAL ESTATE AND TECHNOLOGY JOINT STOCK COMPANY,vn,0,inactive
AS151888,SWIFT INVESTMENT AND TECHNOLOGY COMPANY LIMITED,vn,0,inactive
AS151887,VCORE COMPANY LIMITED,vn,0,inactive
AS151886,Department of Information and Communications of Ben Tre province,vn,0,inactive
AS151884,STNC SERVICE CONSULTANCE COMPANY LIMITED,vn,0,inactive
AS151883,LIEN CLOUD TECHNOLOGY COMPANY LIMITED,vn,0,inactive
AS151882,CLOUDME COMPANY LIMITED,vn,0,inactive
AS151881,GREEN LIGHT TECHNOLOGY SOLUTIONS COMPANY LIMITED,vn,0,inactive
AS151880,BCONNECT TECHNOLOGY AND SOLUTION JOINT STOCK COMPANY,vn,0,inactive
AS151879,GLOBAL TECHNOLOGY SOLUTIONS VIETNAM JOINT STOCK COMPANY,vn,0,inactive
AS151878,EDC INTERNATIONAL TRADING COMPANY LIMITED,vn,0,inactive
AS151877,ANH SAO TECHNOLOGY TRAINING CONSULTANT JOINT STOCK COMPANY,vn,0,inactive
AS151876,"BLUE SKY NETWORK INFRASTRUCTURE SOLUTIONS CO., LTD",vn,0,inactive
AS151875,TAFU ENERGY COMPANY LIMITED,vn,0,inactive
AS151874,BIM VIETNAM COMMUNITY COMPANY LIMITED,vn,0,inactive
AS151871,DANH TUAN TECHNOLOGY COMPANY LIMITED,vn,0,inactive
AS151869,DLC DIGITAL TECHNOLOGY SOLUTION INVESTMENT LIMITED LIABILITY COMPANY,vn,0,inactive
AS151864,TUAN VU SERVICES TECHNOLOGY COMPANY LIMITED,vn,0,inactive
AS151862,NGOC TU NETWORK SOLUTIONS AND TECHNOLOGY COMPANY LIMITED,vn,0,inactive
AS151861,STB TECHNOLOGY COMPANY LIMITED,vn,0,inactive
AS151860,Department of Information and Communications of Hai Duong province,vn,0,inactive
AS151859,CLOUDVIET COMPANY LIMITED,vn,0,inactive
AS151856,LITESPEED TECHNOLOGY COMPANY LIMITED,vn,0,inactive
AS151854,AHOST COMPANY LIMITED,vn,0,inactive
AS151851,V9 ENTERPRISE SOLUTION JOINT STOCK COMPANY,vn,0,inactive
AS150910,MODATEK LIMITED COMPANY,vn,0,inactive
AS150908,LAM TRAN SOFTWARE DEVELOPMENT COMPANY LIMITED,vn,0,inactive
AS150907,GREEN SYSTEM SOLUTIONS COMPANY LIMITED,vn,0,inactive
AS150906,NOVA SQUARE LIMITED,vn,0,inactive
AS150903,ROYAL TECHNOLOGY MEDIA JOINT STOCK COMPANY,vn,0,inactive
AS150902,BIDATA MEDIA AND TECHNOLOGY JOINT STOCK COMPANY,vn,0,inactive
AS150899,HTSG HIGH TECHNOLOGY SERVICES AND MEDIA JOINT STOCK COMPANY,vn,0,inactive
AS150898,VINASITE VIET NAM COMPANY LIMITED,vn,0,inactive
AS150893,Department of Information and Communications of Nghe An province,vn,0,inactive
AS150891,INFOGATE TECHNOLOGY COMPANY LIMITED,vn,0,inactive
AS150889,MONA HOST LIMITED,vn,0,inactive
AS150886,VN CLOUD ONE MEMBER COMPANY LIMITED,vn,0,inactive
AS150885,DA THANH TELECOMMUNICATION COMPANY LIMITED,vn,0,inactive
AS150883,Department of Information and Communication of Gia Lai province,vn,0,inactive
AS150879,WIX CLOUD COMPANY LIMITED,vn,0,inactive
AS150878,V9 TECHNOLOGY JOINT STOCK COMPANY,vn,0,inactive
AS150877,HOI LOC TRADE SERVICES COMPANY LIMITED,vn,0,inactive
AS150876,MAILAND TECHNOLOGY TRADING SERVICES COMPANY LIMITED,vn,0,inactive
AS150874,XOR BPO JOINT STOCK COMPANY,vn,0,inactive
AS150871,N C T CORPORATION,vn,0,inactive
AS150868,ADVIETNAM ADVERTISEMENT MEDIA COMPANY LIMITED,vn,0,inactive
AS150865,MMO VIET NAM SOFTWARE COMPANY LIMITED,vn,0,inactive
AS150863,HUY NGUYEN TECHNOLOGY SOLUTION JOINT STOCK COMPANY,vn,0,inactive
AS150859,SANDCLOCK SERVICE TRADING COMPANY LIMITED,vn,0,inactive
AS150858,"VIET SERVER TECHNOLOGY SOLUTIONS CO.,LTD",vn,0,inactive
AS150853,CLOUD VIET ONE MEMBER COMPANY LIMITED,vn,0,inactive
AS150852,BIGZ TECHNOLOGY JOINT STOCK COMPANY,vn,0,inactive
AS150851,DXT DIGITAL TRANSFORMATION TECHNOLOGY JOINT STOCK COMPANY,vn,0,inactive
AS150849,Pho Web Technology Joint Stock Company,vn,0,inactive
AS150848,VINAF GLOBAL COMPANY LIMITED,vn,0,inactive
AS150845,DIDOTEK COMPANY LIMITED,vn,0,inactive
AS150844,VIN8 TECHNOLOGY INVESTMENT COMPANY LIMITED,vn,0,inactive
AS150843,PHU MINH TECHNICAL SERVICE TRADING COMPANY,vn,0,inactive
AS150841,Quang Ngai Department of Information and Communications,vn,0,inactive
AS150840,HVT TM AND XNK COMPANY LIMITED,vn,0,inactive
AS150839,THIEN TUAN SOLUTION AND TECHNOLOGY COMPANY LIMITED,vn,0,inactive
AS150833,TUAN LINH 88 COMPANY LIMITED,vn,0,inactive
AS150832,NTNT COMPANY LIMITED,vn,0,inactive
AS150831,JACCS international vietnam finance company limited,vn,0,inactive
AS150829,DIGITAL NETWORK CLOUD COMPANY LIMITED,vn,0,inactive
AS150827,MUOI LONG COMPANY LIMITED,vn,0,inactive
AS150826,VR VIET NAM COMPANY LIMITED,vn,0,inactive
AS150822,Tuyen Quang Department of Information and Communications,vn,0,inactive
AS150818,HYPERCORE TECHNOLOGY JOINT STOCK COMPANY,vn,0,inactive
AS150817,MIND TECHNOLOGY LIMITED LIABILITY COMPANY,vn,0,inactive
AS150816,CAMERA-VIET TECHNOLOGY SOLUTIONS COMPANY LIMITED,vn,0,inactive
AS150815,VUONG THANG VTDIGITAL COMPANY LIMITED,vn,0,inactive
AS150814,VNIS JOINT STOCK COMPANY,vn,0,inactive
AS149158,VietNam Eastern Sun Joint Stock Company,vn,0,inactive
AS149156,Bac Ninh Department of Information and Communications,vn,0,government
AS149155,SUNCLOUD TECHNOLOGY INFRASTRUCTURE JOINT STOCK COMPANY,vn,0,inactive
AS149153,Thanh Hoa Information and Communication Technology Center,vn,0,inactive
AS149152,Onet IDC Company,vn,0,inactive
AS149144,VIHAT TECHNOLOGY COMPANY LIMITED,vn,0,inactive
AS149141,VAN ARCHITECTURE AND CONSTRUCTION COMPANY LIMITED,vn,0,inactive
AS149140,VIETSPEED SERVICE COMPANY LIMITED,vn,0,inactive
AS149133,MOC LAM TRADING AND SERVICES JOINT STOCK COMPANY,vn,0,inactive
AS149126,IMEDIA TECHNOLOGY AND SERVICES JOINT STOCK COMPANY,vn,0,inactive
AS149122,3T SYSTEM SOLUTIONS COMPANY LIMITED,vn,0,inactive
AS149121,Lai Chau Department of Information and Communications,vn,0,inactive
AS149119,DHD TELECOM COMPANY LIMITED,vn,0,inactive
AS149115,KINGBOND MIEN TRUNG COMPANY LIMITED,vn,0,inactive
AS149114,NVK TECHNOLOGY AND SERVICES COMPANY LIMITED,vn,0,inactive
AS149113,ODB VIET NAM COMPANY LIMITED,vn,0,business
AS149112,TTK VIET NAM EDUCATION TECHNOLOGY JOINT STOCK COMPANY,vn,0,inactive
AS149111,TEDEV TECHNOLOGICAL DEVELOPMENT COMPANY LIMITED,vn,0,inactive
AS149110,CLOUD4VN DIGITAL TECHNOLOGY COMPANY LIMITED,vn,0,inactive
AS149108,BSS MANAGEMENT CONSULTANT COMPANY LIMITED,vn,0,inactive
AS149106,VIETNAM SERVER SOLUTION COMPANY LIMITED,vn,0,inactive
AS149104,UNI JOINT STOCK COMPANY,vn,0,business
AS149103,BACH KIM HNT COMPANY LIMITED,vn,0,inactive
AS149097,FASTLY NETWORK SOLUTION COMPANY LIMITED,vn,0,inactive
AS149095,TRINH VIET DIGITAL TECHNOLOGY COMPANY LIMITED,vn,0,inactive
AS149093,VPS VIET NAM COMPANY LIMITED,vn,0,inactive
AS149092,Inet academy joint stock company,vn,0,inactive
AS149091,INET E - Commerce Joint Stock Company,vn,0,inactive
AS149090,ZOZO SOFTWARE COMPANY LIMITED,vn,0,inactive
AS149088,INET Solution Corporation,vn,0,inactive
AS149087,Hanoi University,vn,0,inactive
AS149086,Digital Era Software Company Limited,vn,0,inactive
AS149084,KBG VIET NAM REFRIGERATION ELECTRICAL ENGINEERING TRADING COMPANY LIMITED,vn,0,inactive
AS149083,VPSCLOUD 24H TECHNOLOGY AND SERVICES COMPANY LIMITED,vn,0,inactive
AS149082,NGOC MINH TECHNOLOGY JOINT STOCK COMPANY,vn,0,inactive
AS149081,GREEN CITY Construction Investment Joint Stock Company,vn,0,inactive
AS149075,Tan Hoang ViNa Company Limited,vn,0,inactive
AS149073,"Hunasoft Technology Solution Consulting Co., Ltd",vn,0,inactive
AS149072,VPSTTT Technology Company Limited,vn,0,inactive
AS149071,"Phuong Tran Co., Ltd",vn,0,inactive
AS149070,Da Thanh Service and Trade Company Limited,vn,0,inactive
AS149067,AZ Clean Trading and Manufacturing Joint Stock Company,vn,0,inactive
AS149066,"ADNS CO., LTD",vn,0,inactive
AS149064,CLOUDSTACK COMPANY LIMITED,vn,0,inactive
AS140836,PVS SOFTWARE COMPANY LIMITED,vn,0,inactive
AS140835,VAN TRANG PHARMACEUTICAL SUPPLY JOINT STOCK COMPANY,vn,0,inactive
AS140828,TEKNIX TECHNOLOGY CORPORATION,vn,0,inactive
AS140821,"No 3 Dien Bien Phu, V Ward, Vi Thanh City, Hau Giang",vn,0,inactive
AS140820,"P2702 A3 Ecolife Capitol - 58 To Huu, Me Tri Ward, Nam Tu Liem Distrct, Ha Noi City",vn,0,inactive
AS140816,Internet Khong Trung Company,vn,0,inactive
AS140812,"22B, Alley 57 Hoa Binh, Group 14, yen Nghia Ward, Ha Dong District, Ha Noi",vn,0,inactive
AS140808,ONE PLUS INTERNATIONAL CORPORATION,vn,0,inactive
AS140805,TIN VIET TECHNOLOGY ENGINEERING COMPANY LIMITED,vn,0,inactive
AS140802,UNINATION,vn,0,inactive
AS140800,HANDVINA,vn,0,inactive
AS140798,"BAO NAM HOLDINGS., JSC",vn,0,inactive
AS140797,EXA COMPANY LIMITED,vn,0,inactive
AS140795,CYBERLOTUS,vn,0,inactive
AS140794,Ha Tinh Department of Information and Communications,vn,0,inactive
AS140793,VIET NAM GALAXY DIGITAL TECHNOLOGY COMPANY LIMITED,vn,0,inactive
AS140792,IT VILAS VIET NAM JOINT STOCK COMPANY,vn,0,inactive
AS140790,CLOUDCORE JOINT STOCK COMPANY,vn,0,inactive
AS140788,Catiedu Online Training Academy Company Limited,vn,0,inactive
AS140785,VINCOMMERCE GENERAL COMMERCIAL SERVICES JOINT STOCK COMPANY,vn,0,inactive
AS140784,VIET DIGITAL SOLUTIONS JOINT STOCK COMPANY,vn,0,inactive
AS140783,NAMEDIA INTERNATIONAL TECHNOLOGY COMPANY LIMITED,vn,0,inactive
AS140782,"424 De La Thanh, O Cho Dua Ward, Dong Da District, Ha Noi City",vn,0,inactive
AS140780,THAI AN INFORMATION TECHNOLOGY JOINT STOCK COMPANY,vn,0,inactive
AS140779,VINA-BISON INTERNATIONAL TRADING COMPANY LIMITED,vn,0,inactive
AS140778,MINH HIEN SOLUTIONS COMPANY LIMITED,vn,0,inactive
AS140777,VNCOIN247 CORPORATION,vn,0,inactive
AS140776,247 SCRAP TRADE JOINT STOCK COMPANY,vn,0,inactive
AS140773,THIEN CO MANUFACTURING TRADING SERVICES JOINT STOCK COMPANY,vn,0,inactive
AS140772,"MEITC CO.,LTD",vn,0,inactive
AS140771,MXGROUP TECHNOLOGY JOINT STOCK COMPANY,vn,0,inactive
AS140767,VINASOFT One Member Limited Company,vn,0,inactive
AS140763,ITEXPERT Viet Nam Joint Stock Company,vn,0,inactive
AS140756,SAIGON TELECOMMUNICATIONS TECHNOLOGY SOLUTIONS COMPANY,vn,0,inactive
AS140755,Viet Nam Blue Sea Technology Corporation,vn,0,inactive
AS140754,SPR Viet Nam Joint Stock Company,vn,0,inactive
AS140753,Representative Office in Hanoi of Vinahost Company Limited,vn,0,inactive
AS140752,Kien Phong Trading Service Telecommunication Company Limited,vn,0,inactive
AS140749,NSTECH VIET NAM JOINT STOCK COMPANY,vn,0,inactive
AS140746,MCT Technology Solution Joint Stock Company,vn,0,inactive
AS140744,Hanoi Technology and Equipment Joint Stock Company,vn,0,inactive
AS140743,"HUNG CUONG DIGITAL TECHNOLOGY CO.,LTD",vn,0,inactive
AS140741,DIGITAL TECHNOLOGY DEVELOPMENT AND INVESTMENT COMPANY LIMITED,vn,0,inactive
AS140740,HA CUONG TRADING INVESTMENT COMPANY LIMITED,vn,0,inactive
AS140738,VESNET JOINT STOCK COMPANY,vn,0,inactive
AS140737,Viva social network Joint Stock Company,vn,0,inactive
AS135999,ITCPLUS Vietnam Joint Stock Company,vn,0,inactive
AS135996,Be Group Joint Stock Company,vn,0,inactive
AS135995,TLINKVN Technology Connection Joint Stock Company,vn,0,inactive
AS135993,IPTP Networks Company Limited,vn,0,inactive
AS135992,Vietnam Directorate of Market Surveillance,vn,0,inactive
AS135985,BCALL Viet Nam Company Limited,vn,0,business
AS135984,Tino Group Joint Stock Company,vn,0,inactive
AS135979,QI TECHNOLOGIES CORPORATION,vn,0,inactive
AS135976,CLO Technology Limited Company,vn,0,inactive
AS135975,Sea Gem Company Limited,vn,0,inactive
AS135970,EASTERN TRAINING CONSULTANCY AND TAX AGENCY COMPANY LIMITED,vn,0,inactive
AS135968,Early Start Joint Stock Company,vn,0,inactive
AS135966,Edutop64 Training Development and Investment Corporation,vn,0,inactive
AS135965,VNPT Net Corporation - VNPT Group,vn,0,inactive
AS135954,Five9 Vietnam Corporation,vn,0,inactive
AS135950,Binh Duong E-Government Information Center,vn,0,inactive
AS135940,Nice Tech Center Vietnam Limited Company,vn,0,inactive
AS135937,Next Technology Investment and Development Company Limited,vn,0,inactive
AS135931,Information Center - Committee for ethnic minorities affairs,vn,0,inactive
AS135930,Representative office of Ligh technology viet joint stock company,vn,0,inactive
AS135928,Digital Convergence Technology Solutions Company Limited,vn,0,inactive
AS135914,Quang Trung Software City Development Company,vn,0,inactive
AS135907,"VI NA Host Co., ltd",vn,0,inactive
AS135903,FFC joint stock company,vn,0,inactive
AS131441,May Chu Viet Company Limited,vn,0,inactive
AS131437,DT Communications company limited,vn,0,inactive
AS131433,Corporation Technology Development Eposi,vn,0,inactive
AS131432,Cyber Link Service Trading Corporation,vn,0,inactive
AS131424,Online Solution Company Limited,vn,0,inactive
AS131420,Truong Quoc te da cap Anh - HaNoi (BIS HANOI),vn,0,inactive
AS131416,Cloudone Technology Company Limited,vn,0,inactive
AS131400,Global Data Joint Stock Company,vn,0,inactive
AS131399,AI-Solutions Company Limited,vn,0,inactive
AS131395,Van phong dieu phoi Chuong trinh muc tieu quoc gia,vn,0,inactive
AS131394,Cloudovs Vietnam Technology Joint Stock Company,vn,0,inactive
AS131393,Minh Phat Telecomunication service Company Limited,vn,0,inactive
AS131384,Viet Solutions Services Trading Company Limited,vn,0,inactive
AS131377,"DIGIPOWER CO., LTD",vn,0,inactive
AS131370,NETNAM Company,vn,0,inactive
AS131361,GSS Investment Corporation,vn,0,inactive
AS131359,ACB Securities Co. Ltd,vn,0,inactive
AS131356,VERMOS COMPANY LIMITED,vn,0,inactive
AS131346,FLYCLOUD Company Limited,vn,0,inactive
